"sample","putative species","nominal species","latitude","longitude","denominator","original reads","aligned reads","median coverage"
"AMSR_111493_Ct_spal","C. spaldingi 1","C. spaldingi",-13.364,141.73,5818166,2015528,1634151,18
"AMSR_111494_Ct_spal","C. spaldingi 1","C. spaldingi",-13.083,141.616,4959962,1355700,1089222,14
"AMSR_111496_Ct_essi","C. essingtoni 1","C. essingtonii",-12.666,132.833,4879376,3070660,1855690,23
"AMSR_138399_Ct_uber","C. orientalis 1","C. uber",-29.422,142.283,4454902,2792102,1871818,24
"AMSR_152956_Ct_uber","C. orientalis 1","C. uber",-29.074,141.916,0,1794,457,5
"AMSR_152993_Ct_uber","C. orientalis 1","C. uber",-29.733,141.867,4517469,1913702,1143320,15
"AMSR_153434_Ct_uber","C. olympicus","C. uber",-33.748,143.582,4535864,3576910,2095672,30
"ANWC_R05116_Ct_brev","C. brevipes","C. brevipes",-17,144.3,5955269,2315010,1954487,20
"CUMV_14305_Ct_gran","C. grandis","C. grandis",-26.226,121.5575,3077968,1154904,793347,12
"CUMV_14312_Ct_gran","C. grandis","C. grandis",-28.133,123.8667,5739539,3717548,2584954,32
"CUMV_14357_Ct_dux","C. dux","C. dux",-26.226,121.5575,3612489,2075034,1387273,21
"CUMV_14362_Ct_dux","C. dux","C. dux",-26.226,121.5575,4157411,2171708,1446272,21
"CUMV_14364_Ct_dux","C. dux","C. dux",-28.133,123.8667,3586158,895640,563527,10
"CUMV_14365_Ct_dux","C. dux","C. dux",-28.133,123.8667,2664028,901930,616808,11
"CUMV_14366_Ct_dux","C. dux","C. dux",-28.133,123.8667,5643533,5807184,3597008,44
"CUMV_14369_Ct_dux","C. dux","C. dux",-28.133,123.8667,2588951,748078,508275,9
"CUMV_14370_Ct_dux","C. dux","C. dux",-28.133,123.8667,5243446,2707626,1691732,22
"CUMV_14373_Ct_dux","C. dux","C. dux",-28.133,123.8667,5264511,2693882,1647178,21
"CUMV_14374_Ct_dux","C. dux","C. dux",-28.133,123.8667,4871330,2343612,1530620,22
"CUMV_14377_Ct_gree","C. greeri","C. greeri",-28.133,123.8667,4864491,3136570,2133678,23
"CUMV_14378_Ct_gree","C. greeri","C. greeri",-28.133,123.8667,5742381,3492528,2466137,30
"CUMV_14379_Ct_uber","C. uber 1","C. uber",-26.226,121.5575,3893689,1228170,886343,12
"CUMV_14408_Ct_broo","C. brooksi","C. brooksi",-28.133,123.8667,4902570,4349724,2574852,35
"CUMV_14409_Ct_broo","C. brooksi","C. brooksi",-28.133,123.8667,5062396,2216556,1451268,19
"CUMV_14410_Ct_broo","C. brooksi","C. brooksi",-28.133,123.8667,4719048,1787808,1113804,15
"CUMV_14411_Ct_broo","C. brooksi","C. brooksi",-28.133,123.8667,4542545,2550864,1629118,22
"CUMV_14423_Ct_pian","C. piankai 1","C. piankai",-28.133,123.8667,3252625,1854824,1287444,16
"CUMV_14467_Ct_leae","C. leae","C. leae",-28.133,123.8667,4848867,2245844,1549607,20
"CUMV_14468_Ct_leae","C. leae","C. leae",-28.133,123.8667,4862414,2085678,1414157,18
"CUMV_14469_Ct_leae","C. leae","C. leae",-28.133,123.8667,5341913,3849518,2677444,29
"CUMV_14495_Ct_pant","C. pantherinus","C. pantherinus",-26.226,121.5575,3949919,2959182,1542210,26
"CUMV_14496_Ct_pant","C. pantherinus","C. pantherinus",-26.226,121.5575,3538320,1535466,802401,15
"CUMV_1450314572_Ct_pant","C. pantherinus","C. pantherinus",-26.226,121.5575,3387495,1403316,757692,14
"CUMV_14509_Ct_pant","C. pantherinus","C. pantherinus",-28.133,123.8667,3872545,3426940,1831928,30
"CUMV_14516_Ct_pant","C. pantherinus","C. pantherinus",-28.133,123.8667,3384733,1909414,964726,17
"CUMV_14517_Ct_pant","C. pantherinus","C. pantherinus",-28.133,123.8667,3875732,2474094,1265386,22
"CUMV_14518_Ct_pant","C. pantherinus","C. pantherinus",-28.133,123.8667,3978988,3132436,1574248,26
"CUMV_14525_Ct_pant","C. pantherinus","C. pantherinus",-28.133,123.8667,3737750,1998884,1026440,18
"CUMV_14526_Ct_pant","C. pantherinus","C. pantherinus",-28.133,123.8667,3825976,2396466,1216269,21
"CUMV_14527_Ct_pant","C. pantherinus","C. pantherinus",-28.133,123.8667,3635594,2230612,1216829,23
"CUMV_14545_Ct_pant","C. pantherinus","C. pantherinus",-26.226,121.5575,3179420,1129976,597174,12
"CUMV_14546_Ct_pant","C. pantherinus","C. pantherinus",-26.226,121.5575,2693663,825710,437760,9
"CUMV_14547_Ct_pant","C. pantherinus","C. pantherinus",-26.226,121.5575,4037774,3704504,1971477,33
"CUMV_14550_Ct_pant","C. pantherinus","C. pantherinus",-26.226,121.5575,3347845,1382146,725856,14
"CUMV_14551_Ct_pant","C. pantherinus","C. pantherinus",-26.226,121.5575,3660090,1729558,924930,17
"CUMV_14552_Ct_pant","C. pantherinus","C. pantherinus",-26.226,121.5575,2593648,833522,444592,10
"CUMV_14558_Ct_pant","C. pantherinus","C. pantherinus",-26.226,121.5575,3444858,1383698,713818,13
"CUMV_14559_Ct_pant","C. pantherinus","C. pantherinus",-26.226,121.5575,3616217,1660118,844193,15
"CUMV_14560_Ct_pant","C. pantherinus","C. pantherinus",-26.226,121.5575,2601213,910124,463888,10
"CUMV_14561_Ct_pant","C. pantherinus","C. pantherinus",-26.226,121.5575,1958064,705954,347276,9
"CUMV_14563_Ct_pant","C. pantherinus","C. pantherinus",-26.226,121.5575,3649163,1919592,1003631,18
"CUMV_14565_Ct_pant","C. pantherinus","C. pantherinus",-26.226,121.5575,1638219,552618,277898,8
"CUMV_14566_Ct_pant","C. pantherinus","C. pantherinus",-26.226,121.5575,3730186,2340374,1255637,23
"CUMV_14567_Ct_pant","C. pantherinus","C. pantherinus",-26.226,121.5575,3740254,2012554,1037141,18
"CUMV_14568_Ct_pant","C. pantherinus","C. pantherinus",-26.226,121.5575,3769177,2353474,1192660,20
"CUMV_14569_Ct_pant","C. pantherinus","C. pantherinus",-26.226,121.5575,3683713,2142236,1156648,19
"CUMV_14570_Ct_pant","C. pantherinus","C. pantherinus",-26.226,121.5575,4086846,3309860,1821884,30
"CUMV_1457314504_Ct_pant","C. pantherinus","C. pantherinus",-26.226,121.5575,3310814,1268098,692748,13
