Paper,marker_used,number_of_species,MRCA,phylogenetic_scale,hypothesis,major_factors,proportion_of_variance,notes,metric
Avise 1992,mtDNA,19,800,multiple phyla,Nc,"census population size, females",0.4356,"multiple populations sampled within species, no phylogenetic control",Ne (females)
Bazin et al 2006,allozymes,89,800,multiple orders,Nc,body size,,"significant, but not measured",heterozygosity
Berkelhamer 1983,allozymes,101,325,Hymenoptera,life history,haplodiploidy,,"significant, but not measured",heterozygosity
Burney and Brumfield 2009,mtDNA,40,70,seven orders,environment,understory vs. canopy,0.58,,pi
Chen et al 2017,WGS data,28,160,plants,life history,mating system,,"significant, but not measured",pi at four-fold degenerate sites
Chen et al 2017,WGS data,62,1500,animals & plants,life history,longevity,0.7,,pi at four-fold degenerate sites
Cole 2003,allozymes,247,330,multiple orders,Nc,rare vs. not,,"significant, but not measured",multiple metrics
Corbett-Detig et al 2015,nDNA,40,1500,eukaryotes,recombination rate,recombination rate,,argue recombination interacts with N to affect diversity,pi at four-fold degenerate sites
Dalongeville et al 2015,microsats,31,200,fish,Nc,migration,0.1026,not phylogenetic,He
Dalongeville et al 2015,microsats,31,200,fish,Nc,body length,0.1254,not phylogenetic,He
Dalongeville et al 2015,microsats,31,200,fish,environment,vertical distribution,0.342,not phylogenetic,He
Delrieu-Trottin et al 2014,mtDNA,33,140,five families,phylogeny,phylogeny,0.44,,pi
DeWoody and Avise 2000,microsats,78,250,fish,environment,"habitat type (marine, freshwater)",,"significant, but not measured",Hs
Doyle et al 2015,microsats,95,180,mammals,Nc,"range size, conservation status",0.11,,heterozygosity
Duminil et al. 2007,cpDNA / mtDNA,112,160,multiple orders,life history,breeding & mating system,0.13,,Gst
Eo et al 2011,microsats,76,90,birds,Nc,body mass,0.16,,Hsp
Evans and Sheldon 2008,microsats,89,90,birds,Nc,"population size, sample size",0.142,,heterozygosity
Evans and Sheldon 2008,microsats,194,90,birds,demographic history,extinction risk,0.165,,heterozygosity
Frankham 1997,many types,202,1500,all life,Nc,island vs. mainland,,"significant, but not measured",heterozygosity
Fujisawa et al 2014,mtDNA,274,250,multiple families,Nc,occupancy,0.05,,pi
Garner et al 2005,microsats,108,180,all mammals,demographic history,population decline,,"significant, but not measured",heterozygosity
Glemin et al 2006,nDNA / mtDNA,887,160,all angiosperms,life history,mating system,0.15,0.08 when including family level effects,pi
Graur 1985,allozymes,188,325,Hymenoptera,life history,sociality,,"significant, but not measured",He
Gyllensten 1984,allozymes,19,200,fish,environment,"habitat type (marine, freshwater)",,"significant, but not measured",Hs
Hamrick & Godt 1996,allozymes,735,300,multiple orders,life history,breeding system / seed dispersal,0.11,,Hes
Hamrick & Godt 1996,allozymes,735,300,multiple orders,life history,life form / breeding system,0.392,not phylogenetic,Gst
Hamrick and Godt 1990,allozymes,449,300,multiple orders,life history,breeding system,0.0924,many of these same studies were included in Hamrick and Godt 1996,Hep
Hamrick and Godt 1990,allozymes,449,300,multiple orders,Nc,geographic range,0.0784,many of these same studies were included in Hamrick and Godt 1996,Hep
Hamrick and Godt 1990,allozymes,449,300,multiple orders,life history,life form,0.0364,many of these same studies were included in Hamrick and Godt 1996,Hep
Hamrick and Godt 1990,allozymes,449,300,multiple orders,phylogeny,,0.0336,many of these same studies were included in Hamrick and Godt 1996,Hep
Hamrick and Godt 1990,allozymes,449,300,multiple orders,life history,dispersal mechanism,0.0308,many of these same studies were included in Hamrick and Godt 1996,Hep
Hamrick et al 1992,allozymes,322,300,multiple orders,Nc,geographic range,0.2025,not fully phylogenetic,He
Harvey et al 2016,nDNA,40,70,multiple orders of birds,environment,habitat type,,"significant, but not measured",Watterson's Theta
Hedrick and Parker 1997,allozymes,,300,multiple orders,life history,haplodiploidy,,"significant, but not measured",He
James et al 2016,mixed,112 comparisons,1500,multiple orders,Nc,island vs. mainland,,"significant, but not measured","pi, silent"
